run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20250722-17:23:02-44475,config,,,*.source.bridging.streamCoder.encoder.mapping,"[{stream: ""s1"", vlan: 1}]",,
General-0-20250722-17:23:02-44475,config,,,*.s1.macTable.forwardingTable,"[{address: ""destination"", vlan: 1, interface: ""eth1""},
                                 {address: ""destination"", vlan: 2, interface: ""eth2""}]",,
General-0-20250722-17:23:02-44475,config,,,*.s1.ieee8021q.qTagHeaderChecker.vlanIdFilter,[1],,
General-0-20250722-17:23:02-44475,config,,,*.s1.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250722-17:23:02-44475,config,,,*.s1.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20250722-17:23:02-44475,config,,,*.s1.bridging.streamCoder.decoder.mapping,"[{interface: ""eth0"", vlan: 1, stream: ""s1""}]",,
General-0-20250722-17:23:02-44475,config,,,*.s1.bridging.streamRelay.splitter.mapping,"{s1: [""s1a"", ""s1b""]}",,
General-0-20250722-17:23:02-44475,config,,,*.s1.bridging.streamCoder.encoder.mapping,"[{stream: ""s1a"", vlan: 1},
                                             {stream: ""s1b"", vlan: 2}]",,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.typename,StreamMergerSorter,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.seqNum.record,vector,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.enableReordering,true,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.dynamicBuffersize,true,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.periodicEmission,false,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.bufferSize,5,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.timerInterval,10ms,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.senderTransmissionInterval,1ms,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.jitter,10ms,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.startSequence,0,,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamCoder.decoder.mapping,"[{interface: ""eth1"", vlan: 1, stream: ""s1a""},
                                              {interface: ""eth2"", vlan: 2, stream: ""s1b""}]",,
General-0-20250722-17:23:02-44475,config,,,*.s2.macTable.forwardingTable,"[{address: ""destination"", vlan: 1, interface: ""eth0""},
                                 {address: ""destination"", vlan: 2, interface: ""eth0""}]",,
General-0-20250722-17:23:02-44475,config,,,*.s2.ieee8021q.qTagHeaderChecker.vlanIdFilter,"[1, 2]",,
General-0-20250722-17:23:02-44475,config,,,*.s2.bridging.streamRelay.merger.mapping,"{s1a: """", s1b: """"}",,
General-0-20250722-17:23:02-44475,vector,FRERnetwork.s2.bridging.streamRelay.merger,historyLength:vector,,,"0 0.01 0.02 0.03 0.04 0.05 0.06 0.07 0.08 0.09 0.1","5 10 15 20 20 25 19 30 30 25 17"
General-0-20250722-17:23:02-44475,attr,FRERnetwork.s2.bridging.streamRelay.merger,historyLength:vector,recordingmode,vector,,
